MAINTENANCE_AGENCY_ID,VARIABLE_SET_ID,NAME,CODE,DESCRIPTION
ECB6,ECB6_EBA_433226,Variable set for combination EBA_433226,EBA_433226,Variable set for combination EBA_433226
ECB6,ECB6_EBA_433248,Variable set for combination EBA_433248,EBA_433248,Variable set for combination EBA_433248
ECB6,ECB6_EBA_431710,Variable set for combination EBA_431710,EBA_431710,Variable set for combination EBA_431710
ECB6,ECB6_EBA_431730,Variable set for combination EBA_431730,EBA_431730,Variable set for combination EBA_431730
ECB6,ECB6_EBA_431575,Variable set for combination EBA_431575,EBA_431575,Variable set for combination EBA_431575
ECB6,ECB6_EBA_432540,Variable set for combination EBA_432540,EBA_432540,Variable set for combination EBA_432540
ECB6,ECB6_EBA_432576,Variable set for combination EBA_432576,EBA_432576,Variable set for combination EBA_432576
ECB6,ECB6_EBA_432320,Variable set for combination EBA_432320,EBA_432320,Variable set for combination EBA_432320
ECB6,ECB6_EBA_432164,Variable set for combination EBA_432164,EBA_432164,Variable set for combination EBA_432164
ECB6,ECB6_EBA_432152,Variable set for combination EBA_432152,EBA_432152,Variable set for combination EBA_432152
ECB6,ECB6_EBA_432767,Variable set for combination EBA_432767,EBA_432767,Variable set for combination EBA_432767
ECB6,ECB6_EBA_433196,Variable set for combination EBA_433196,EBA_433196,Variable set for combination EBA_433196
ECB6,ECB6_EBA_433216,Variable set for combination EBA_433216,EBA_433216,Variable set for combination EBA_433216
ECB6,ECB6_EBA_433236,Variable set for combination EBA_433236,EBA_433236,Variable set for combination EBA_433236
ECB6,ECB6_EBA_431700,Variable set for combination EBA_431700,EBA_431700,Variable set for combination EBA_431700
ECB6,ECB6_EBA_431720,Variable set for combination EBA_431720,EBA_431720,Variable set for combination EBA_431720
ECB6,ECB6_EBA_431563,Variable set for combination EBA_431563,EBA_431563,Variable set for combination EBA_431563
ECB6,ECB6_EBA_432528,Variable set for combination EBA_432528,EBA_432528,Variable set for combination EBA_432528
ECB6,ECB6_EBA_432563,Variable set for combination EBA_432563,EBA_432563,Variable set for combination EBA_432563
ECB6,ECB6_EBA_432306,Variable set for combination EBA_432306,EBA_432306,Variable set for combination EBA_432306
ECB6,ECB6_EBA_432138,Variable set for combination EBA_432138,EBA_432138,Variable set for combination EBA_432138
ECB6,ECB6_EBA_432126,Variable set for combination EBA_432126,EBA_432126,Variable set for combination EBA_432126
ECB6,ECB6_EBA_432755,Variable set for combination EBA_432755,EBA_432755,Variable set for combination EBA_432755
ECB6,ECB6_EBA_433106,Variable set for combination EBA_433106,EBA_433106,Variable set for combination EBA_433106
ECB6,ECB6_EBA_433126,Variable set for combination EBA_433126,EBA_433126,Variable set for combination EBA_433126
ECB6,ECB6_EBA_433146,Variable set for combination EBA_433146,EBA_433146,Variable set for combination EBA_433146
ECB6,ECB6_EBA_431482,Variable set for combination EBA_431482,EBA_431482,Variable set for combination EBA_431482
ECB6,ECB6_EBA_431502,Variable set for combination EBA_431502,EBA_431502,Variable set for combination EBA_431502
ECB6,ECB6_EBA_431345,Variable set for combination EBA_431345,EBA_431345,Variable set for combination EBA_431345
ECB6,ECB6_EBA_431523,Variable set for combination EBA_431523,EBA_431523,Variable set for combination EBA_431523
ECB6,ECB6_EBA_432459,Variable set for combination EBA_432459,EBA_432459,Variable set for combination EBA_432459
ECB6,ECB6_EBA_432494,Variable set for combination EBA_432494,EBA_432494,Variable set for combination EBA_432494
ECB6,ECB6_EBA_432270,Variable set for combination EBA_432270,EBA_432270,Variable set for combination EBA_432270
ECB6,ECB6_EBA_432068,Variable set for combination EBA_432068,EBA_432068,Variable set for combination EBA_432068
ECB6,ECB6_EBA_432056,Variable set for combination EBA_432056,EBA_432056,Variable set for combination EBA_432056
ECB6,ECB6_EBA_432721,Variable set for combination EBA_432721,EBA_432721,Variable set for combination EBA_432721
ECB6,ECB6_EBA_433207,Variable set for combination EBA_433207,EBA_433207,Variable set for combination EBA_433207
ECB6,ECB6_EBA_433227,Variable set for combination EBA_433227,EBA_433227,Variable set for combination EBA_433227
ECB6,ECB6_EBA_433249,Variable set for combination EBA_433249,EBA_433249,Variable set for combination EBA_433249
ECB6,ECB6_EBA_431711,Variable set for combination EBA_431711,EBA_431711,Variable set for combination EBA_431711
ECB6,ECB6_EBA_431731,Variable set for combination EBA_431731,EBA_431731,Variable set for combination EBA_431731
ECB6,ECB6_EBA_431576,Variable set for combination EBA_431576,EBA_431576,Variable set for combination EBA_431576
ECB6,ECB6_EBA_432541,Variable set for combination EBA_432541,EBA_432541,Variable set for combination EBA_432541
ECB6,ECB6_EBA_432577,Variable set for combination EBA_432577,EBA_432577,Variable set for combination EBA_432577
ECB6,ECB6_EBA_432321,Variable set for combination EBA_432321,EBA_432321,Variable set for combination EBA_432321
ECB6,ECB6_EBA_432165,Variable set for combination EBA_432165,EBA_432165,Variable set for combination EBA_432165
